"ID","Clee","Nombre de la Unidad Econ�mica","Raz�n social","C�digo de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","N�mero exterior o kil�metro","Letra exterior","Edificio","Edificio Piso","N�mero interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado p�blico","N�mero de local","C�digo Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","�rea geoestad�stica b�sica ","Manzana","N�mero de tel�fono","Correo electr�nico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporaci�n al DENUE"
"54916","02004622111000593000000000U7","CENTRO MEDICO SENABIL","CENTRO MEDICO SENABIL AC","622111","Private","11 a 30 personas","CALLE","CARRILLO PUERTO TERCERA","AVENIDA","CONSTITUCION","AVENIDA","NIÑOS HEROES (B)","CALLE","BENITO JUAREZ (SEGUNDA)","1830",,,,,,"COLONIA","ZONA CENTRO",,,,"22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","2946","024","6646881938",,,"Fijo","32.53400739","-117.03881001","2010-07"
"10517071","02004622111001255000000000U2","CIPLASTIC AMERICA","CIPLASTIC AMERICA SA DE CV","622111","Private","51 a 100 personas","CALLE","EMILIANO ZAPATA QUINTA","AVENIDA","MUTUALISMO (E)","CALLE","MIGUEL F. MARTINEZ (D)","AVENIDA","MUTUALISMO (E)","7867",,,,,,"COLONIA","ZONA CENTRO",,,,"22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0051","018",,"ADMINISTRACION@CIPLASTIC.COM","WWW.CIPLASTIC.COM","Fijo","32.53141206","-117.0416652","2024-11"
"110588","02004622112000315001019468S3","CLINICA DE MEDICINA FAMILIAR MEZA DE OTAY ISSSTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO ","622112","Public","101 a 250 personas","CALLE","SILVESTRE REVUELTAS","CALLE","JUVENTINO ROSAS","CALLE","FELIPE VILLANUEVA","CALLEJON","RICARDO CASTRO","0","SN",,,"0",,"COLONIA","NUEVA TIJUANA",,,,"22435","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3840","006",,,"ASISSSTE.ISSSTE.GOB.MX","Fijo","32.54665763","-116.93359791","2014-12"
"148818","02004622111000141001000000U5","CLINICA HOSPITAL FILADELFIA","JORGE PEÑA SANCHEZ SA DE CV","622111","Private","11 a 30 personas","BOULEVARD","RUTA MORELOS","CALLE","BONAMPAK","CALLE","CAMINO A CHOLULA","CALLE","PADRE ANTONIO TORRES","9204",,,,"0",,"FRACCIONAMIENTO","MARIANO MATAMOROS (SUR)",,,,"22234","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","190A","011","6646293434","CLINICAFILADELFIA@GMAIL.COM",,"Fijo","32.47367826","-116.87731356","2010-07"
"6424318","02004622111000432001000000U8","CLINICA LUNA",,"622111","Private","6 a 10 personas","CALLE","RUTA MARIANO MATAMOROS","CALLE","CAMINO A TULUM","CALLE","UXMAL","CALLE","IGNACIO ALLENDE","0","SN",,,"8662",,"COLONIA","MARIANO MATAMOROS",,,,"22206","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","4302","027",,,,"Fijo","32.48662852","-116.88074189","2010-07"
"106729","02004622112000285001000000U8","CLINICA MARIANO MATAMOROS ISSTECALI","ISSTECALI ","622112","Public","31 a 50 personas","OTRO(ESPECIFIQUE)","SIN REFERENCIA","CALLE","MONTES DE OCA","AVENIDA","ARANJUEZ","AVENIDA","AVENIDA DE LAS AGUAS",,"SN",,,"0",,"COLONIA","VILLA FONTANA",,,,"22205","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","5940","039",,,,"Fijo","32.50421249","-116.86592568","2014-12"
"53588","02004622111000251001000000U2","CLINICA MEDICA FAMILIAR",,"622111","Private","6 a 10 personas","AVENIDA","NIÑOS HEROES B","CALLE","DIAZ MIRON (CUARTA)","CALLE","EMILIANO ZAPATA (QUINTA)","CALLE","MIGUEL F. MARTINEZ (D)","1881",,,,"1081","ALTA","COLONIA","CENTRO",,,,"22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0051","011",,,,"Fijo","32.53210049","-117.03990155","2010-07"
"110634","02004622111000792001000000U5","CLINICA NUEVA TIJUANA GRIJALVA","CLINICA NUEVA TIJUANA GRIJALVA SA DE CV","622111","Private","6 a 10 personas","CALLE","JOSE LOPEZ PORTILLO PONIENTE","BOULEVARD","BOULEVARD DE LAS BELLAS ARTES","CALLE","FELIPE VILLANUEVA","CALLE","JULIAN CARRILLO","99",,,,,,"COLONIA","NUEVA TIJUANA",,,,"22435","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3840","011",,"CLINICANUEVATIJUANA@HOTMAIL.COM",,"Fijo","32.54587924","-116.93140817","2014-12"
"152812","02004622111000553000000000U1","CLINICA SANCHEZ",,"622111","Private","6 a 10 personas","AVENIDA","INGENIERO JUAN OJEDA ROBLES Y O DE LA PAZ","CALLE","SANTA ISABEL","BOULEVARD","BOULEVARD DE LAS AMERICAS","AVENIDA","INSURGENTES","455","B",,,"0",,"COLONIA","BUENA VISTA",,,,"22415","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1543","002",,,,"Fijo","32.51981568","-116.9880705","2010-07"
"109532","02004622111000753001000000U7","CLINICA VIDA","TORRES Y SOUZA SA DE CV","622111","Private","11 a 30 personas","CALLE","TECATE","BOULEVARD","HECTOR TERAN TERAN","CALLE","BEGONIAS","CALLE","TECATE","0","SN",,,"110",,"COLONIA","JARDIN DORADO",,,,"22020","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","4444","052","6649054040","HOSPITALVIDA@HOTMAIL.COM",,"Fijo","32.51468513","-116.8876323","2010-07"
"10287578","02004622111001225000000000U5","CMB CENTRO MEDICO BARATRICO","CENTRO MEDICO BARATRICO SC","622111","Private","51 a 100 personas","AVENIDA","ERNESTO SARMIENTO","AVENIDA","EVARISTO MOLINA","AVENIDA","ANTONIO SALVATIERRA","AVENIDA","ANTONIO SALVATIERRA","2301",,,,"2301",,"COLONIA","BUROCRATICA RUIZ CORTINEZ",,,,"22350","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3342","032",,,,"Fijo","32.52564068","-117.0060919","2024-11"
"8485995","02004622111001021000000000U8","CONSULTORIO GINECOLOGO",,"622111","Private","0 a 5 personas","CALLE","PASEO DEL LAGO","AVENIDA","AVENIDA DE LOS GRANDES LAGOS DEL NORTE","AVENIDA","LAGUNA TERMINOS","AVENIDA","LAGUNA SALADA","10000","4",,,"0",,"COLONIA","EL LAGO",,,,"22210","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","6949","047","6646283760","MARSANFE5@YAHOO.C.COM.MX",,"Fijo","32.50804393","-116.92722054","2019-11"
"8039616","02004622112000394000024367S8","CRUZ ROJA MEXICANA","CRUZ ROJA MEXICANA ","622112","Public","11 a 30 personas","BOULEVARD","GUSTAVO DIAZ ORDAZ","BOULEVARD","LAZARO CARDENAS","AVENIDA","AVENIDA DE LAS FUENTES","BOULEVARD","GUSTAVO DIAZ ORDAZ","0","SN","PLAZA 5 Y 10","PLANTA BAJA",,,"COLONIA","ESMERALDA","CENTRO Y PLAZA COMERCIAL","PLAZA 5 Y 10","14517","22015","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3431","013",,,"bajacalifornia.cruzrojamexicana.org.mx","Fijo","32.498337","-116.96573616","2019-11"
"11081641","02004622111001155000000000U4","DREAMS HOSPITAL",,"622111","Private","51 a 100 personas","BOULEVARD","CUAUHTEMOC SUR ORIENTE","CALLE","GOBERNADOR LUGO","CALLE","GOBERNADOR IBARRA","AVENIDA","GUILLERMO PRIETO",,"SN",,,,,"COLONIA","AMERICA",,,,"22044","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","436A","008",,"DREAMSHOSPITALTJ@GMAIL.COM",,"Fijo","32.51794963","-117.02129035","2024-11"
"8796765","02004622111000941000000000U8","FAMILY CARE",,"622111","Private","0 a 5 personas","CALLE","WAHOO","CALLE","BREVA","CALLE","CEREZA","CALLE","DURAZNO","9769",,,,"0",,"COLONIA","FLORIDO",,,,"22237","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1859","007",,,,"Fijo","32.46749952","-116.87264638","2019-11"
"10859209","02004622111001231000000000S3","FARMACIA VELL",,"622111","Private","0 a 5 personas","CALLE","SANTA ISABELA","CERRADA","CAMINITO ALEGRE","CALLE","PLAZA AURORA","CALLE","PLAZA AURORA","6670",,"CENTRO Y PLAZA COMERCIAL SIN NOMBRE","PLANTA BAJA","6",,"COLONIA","LAS PLAZAS","CENTRO Y PLAZA COMERCIAL","CENTRO Y PLAZA COMERCIAL SIN NOMBRE","6","22480","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3499","073",,,,"Fijo","32.48123039","-116.9949168","2024-11"
"6718590","02004622112000383001000000U1","GREEN HEALTH MEDICAL GROUP","JOSE ORACIO RUIZ GASTELUM SC","622112","Public","31 a 50 personas","CALLE","CAMINO ARANJUEZ","CALLE","TULIPANES","BOULEVARD","PARALELO 28 (MATAMOROS Y/O CUCAPAH)","CALLE","CAMINO ARANJUEZ","10000",,,,,,"COLONIA","VILLA FONTANA",,,,"22205","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","7148","038",,"GESTIONGHH@HOTMAIL.COM",,"Fijo","32.51289658","-116.8722935","2016-01"
"6959522","02004622111000973000000000U1","GRUPO MEDICO DE LA PIEDAD CENTRO","GRUPO MEDICO DE LA PIEDAD CENTRO SC","622111","Private","11 a 30 personas","AVENIDA","GONZALEZ ORTEGA G","CALLE","CARRILLO PUERTO (TERCERA)","CALLE","BENITO JUAREZ (SEGUNDA)","AVENIDA","5 DE MAYO (F)","876",,,,,,"COLONIA","ZONA CENTRO",,,,"22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","2927","030","6646858532","FACTURAS@HOSPITALLAPIEDAD.COM",,"Fijo","32.53330155","-117.04692691","2019-11"
"10602873","02004622111001191000000000U9","HERTZ SOLUCIONES MEDICAS INDUSTRIALES","HERTZ SOLUCIONES MEDICAS INDUSTRIALES SA DE CV","622111","Private","0 a 5 personas","CALLE","JOAQUIN CLAUSEL","BOULEVARD","GENERAL RODOLFO SANCHEZ TABOADA","AVENIDA","PASEO DE LOS HEROES","CALLE","EDMUNDO O. GORMAN","2226",,"EDIFICIO SIN NOMBRE","PISO 2","1",,"COLONIA","ZONA RIO","EDIFICIO COMERCIAL Y DE SERVICIOS","SCORPION SHOP","1A","22320","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3357","014","6644714532","EDGAR.REYES@HERTZSMI.COM","WWW.HERTZSMI.COM","Fijo","32.52372578","-117.01688498","2024-11"
"6286537","02004622111000747001003503S9","HOSPITAL ANGELES TIJUANA","OPERADORA DE HOSPITALES ANGELES SA DE CV","622111","Private","251 y más personas","AVENIDA","PASEO DE LOS HÉROES","AVENIDA","MISIÓN DE LA PAZ","CALLE","MISIÓN DE MULEGÉ","BOULEVARD","GENERAL RODOLFO SÁNCHEZ TABOADA","10999",,,,,,"COLONIA","ZONA URBANA RIO TIJUANA",,,,,"02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3380","012",,"FISCALGASS@SALUDANGELES.MX","WWW.HOSPITALANGELES.COM","Fijo","32.51870923","-117.00755707","2010-07"
"6959766","02004622111000982000000000U2","HOSPITAL CLINICA MEDICINA TRADICIONAL CHINA MEXICO","HOSPITAL CLINICA MEDICA TRADICIONAL CHINA MEXICO SA DE CV","622111","Private","6 a 10 personas","AVENIDA","PASEO A PLAYAS DE TIJUANA","AVENIDA","AVENIDA DE LAS NUBES","AVENIDA","AVENIDA DE LA LLUVIA","CALLE","CALLE DEL CANTIL","2076",,,,"1",,"FRACCIONAMIENTO","PLAYAS DE TIJUANA SECCIÓN JARDINES DEL SOL",,,,"22505","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1473","015",,,"WWW.HOSPITALMTC.COM","Fijo","32.51681253","-117.11985866","2019-11"
"156637","02004622112000237000000000U9","HOSPITAL DE GINECO OBSTETRICIA CON UNIDAD DE MEDICINA FAMILIAR NUMERO 7","INSTITUTO MEXICANO DEL SEGURO SOCIAL ","622112","Public","251 y más personas","BOULEVARD","AGUA CALIENTE","AVENIDA","CARDENAS","CALLE","FRANCISCO SARABIA","BOULEVARD","GUSTAVO SALINAS","10000",,,,,,"FRACCIONAMIENTO","AVIACION",,,,"22420","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0441","023",,,,"Fijo","32.5135619","-117.00888763","2010-07"
"142001","02004622111000674000000000U5","HOSPITAL DE LOS ARCANGELES",,"622111","Private","11 a 30 personas","BOULEVARD","GUSTAVO DIAZ ORDAZ","BOULEVARD","LAS LOMAS","CALZADA","GUADALUPE","CALZADA","GUADALUPE","135",,,,"0",,"COLONIA","LAS HUERTAS 4SEC",,,,"22216","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1670","024","6646868059",,,"Fijo","32.4934263","-116.95745908","2010-07"
"70208","02004622111000121000000000U7","HOSPITAL DEL NIÑO JESUS","HOSPITAL DEL NIÑO JESUS SC","622111","Private","0 a 5 personas","AVENIDA","5 DE MAYO F","CALLE","CARRILLO PUERTO (TERCERA)","CALLE","DIAZ MIRON (CUARTA)","AVENIDA","MUTUALISMO (E)","704","B",,,,,"COLONIA","ZONA CENTRO",,,,"22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0051","004",,"DRJOSEMIRO@HOTMAIL.COM",,"Fijo","32.53300869","-117.04506254","2011-03"
"123083","02004622111000772001000000U7","HOSPITAL FUNDADORES",,"622111","Private","11 a 30 personas","BOULEVARD","BOULEVARD DE LOS FUNDADORES","CALLE","ENSENADA","BOULEVARD","LOS FUNDADORES","BOULEVARD","BOULEVARD DE LOS FUNDADORES","1000",,,,"0",,"COLONIA","22630",,,,"22637","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","0422","032","6646845682","HOSPITAL.FUNDADORES@OUTLOOK.COM",,"Fijo","32.49968995","-117.03301789","2014-12"
"153536","02004622112000207000000000U2","HOSPITAL GENERAL DE TIJUANA","INSTITUTO DE SERVICIOS DE SALUD PUBLICA DEL ESTADO DE BAJA CALIFORNIA ","622112","Public","251 y más personas","AVENIDA","PADRE EUSEBIO KINO","CALLE","GENERAL JOSE VASCONCELOS","CALLE","JOSE RUBEN ROMERO","CALLE","VIA ORIENTE",,"SN","HOSPITAL GENERAL DE TIJUANA","PLANTA BAJA","10851",,"COLONIA","ZONA URBANA RIO TIJUANA",,,,"22000","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3357","020","6646342791","DIRECCION_SUB_HTG@HOTMAIL.COM",,"Fijo","32.52643343","-117.0097289","2010-07"
"62378","02004622111000613001000000U3","HOSPITAL GUZMAN","HOSPITAL GUZMAN SA DE CV","622111","Private","31 a 50 personas","AVENIDA","MULEGE","CALLE","GUAYCURAS","CALLE","COCHIMIES","CALLE","EUREKA","0","SN",,,,,"COLONIA","HERRERA",,,,"22534","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3018","007","6646800664","LOPEZCASTRO2003@YAHOO.COM.MX",,"Fijo","32.5257173","-117.06451794","2010-07"
"11427428","02004622111001203000000000U2","HOSPITAL HENEN",,"622111","Private","11 a 30 personas","CALLE","PASEO BANDERAS","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","PASEO BANDERAS","10",,"EDIFICIO SIN NOMBRE","PLANTA BAJA",,"LOAL 10 Y 16","ZONA COMERCIAL","PLAZA VISTA MAR",,,,"22564","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","8593","007",,,,"Fijo","32.43639536","-117.05310426","2024-11"
"9986578","02004622111001141000000000U4","HOSPITAL HESIEG","HESIEG HOSPITAL SC","622111","Private","0 a 5 personas","CALLE","DOCTOR ATL","CALLE","VIA RAPIDA","AVENIDA","PASEO DE LOS HEROES","AVENIDA","JOSE CLEMENTE OROZCO","2084",,"TORRE ZENTRUM","PISO 2","203",,"COLONIA","ZONA URBANA RIO","EDIFICIO COMERCIAL Y DE SERVICIOS","TORRE ZENTRUM","203","22010","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3357","002",,"CAROLINA_SCHRANM@HOTMAIL.COM",,"Fijo","32.52515945","-117.01412983","2024-11"
"147123","02004622311000572011000000U7","HOSPITAL HL BAJA","LETICIA RIOS OSORIO SA DE CV","622111","Private","6 a 10 personas","BOULEVARD","DE LOS INSURGENTES","CALLE","PRINCIPAL","PRIVADA","MARGARITA","CALLE","NINGUNO","19302",,,,,,"COLONIA","FIDEL VELAZQUEZ",,,,"22224","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1774","023","6646258053","HLFACTURAS@HOTMAIL.COM",,"Fijo","32.46882746","-116.91702431","2012-06"
"144469","02004622111000382000000000U5","HOSPITAL INSURGENTES DEL NOROESTE","HOSPITAL INSURGENTES DEL NOROESTE S DE RL DE CV","622111","Private","0 a 5 personas","BOULEVARD","DE LOS INSURGENTES","AVENIDA","COCHIMIES","CALLE","NINGUNO","BOULEVARD","COCHIMIES","200",,,,,,"COLONIA","RÍO TIJUANA 3RA. ETAPA",,,,"22226","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1064","070","6646251616",,,"Fijo","32.4870792","-116.92514653","2010-07"
"109159","02004622111000803001000000U0","HOSPITAL INSURGENTES RIO","HOSPITAL DEL NORTE S DE RL DE CV","622111","Private","11 a 30 personas","BOULEVARD","CAMPESTRE","BOULEVARD","DE LOS INSURGENTES","CALLE","PASEO DEL RIO","BOULEVARD","CAÑON GATO BRONCO (MANUEL J. CLOUTHIER)","0","SN",,,"18161",,"COLONIA","22226",,,,"22226","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1064","028",,"ADMINISTRACION@HOSPITALDELNORTE.COM",,"Fijo","32.48950081","-116.92901427","2014-12"
"153300","02004561110000372011000000U1","HOSPITAL LITYEN","LITYEN SC","622111","Private","6 a 10 personas","AVENIDA","JOSE CLEMENTE OROZCO","AVENIDA","PASEO DE LOS HEROES","CALLE","VIA RAPIDA","CALLE","DIEGO RIVERA",,"DOMICILIO CONOCIDO","PLAZA PACIFICO","PISO 2","206",,"COLONIA","ZONA URBANA RIO TIJUANA","EDIFICIO COMERCIAL Y DE SERVICIOS","PLAZA PACIFICO","202","22320","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3357","011",,,"WWW.LITYEN.COM.MX","Fijo","32.52391515","-117.0140499","2010-07"
"135889","02004622111000573001000000U9","HOSPITAL LUIS LUAN",,"622111","Private","11 a 30 personas","CALLE","MISION SAN IGNACIO","CALLE","PADRE KINO","CALLE","MISION SAN GERTRUDIS","CALLE","PADRE KINO","0","SN",,,,,"COLONIA","SALVATIERRA",,,,"22607","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3198","013","6647009743",,,"Fijo","32.48381707","-117.06951515","2010-07"
"151854","02004622111000724001000000U8","HOSPITAL MEXICO","HOSPITAL MEXICO DE BC SA DE CV","622111","Private","51 a 100 personas","OTRO(ESPECIFIQUE)","AVENIDA DE LA AMISTAD","CALLE","NINGUNO","CALLE","NINGUNO","OTRO(ESPECIFIQUE)","BURSÁTIL","2203",,,,,,"COLONIA","EMPLEADOS FEDERALES",,,,,"02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","2931","044","6646866363","HOSPITALMEX_ADM@HOTMAIL.COM","WWW.HOSPITALMEXICO.ORG","Fijo","32.53844363","-117.02820523","2010-07"
"115852","02004622311000892011000000U9","HOSPITAL MI DOCTOR","GRUPO SAREMA S DE RL DE CV","622111","Private","51 a 100 personas","CALLE","SALVADOR NOVO","AVENIDA","PASEO CENTENARIO TIJUANA","CALLE","VÍA ORIENTE","OTRO(ESPECIFIQUE)","JOSÉ GOROSTIZA","1060",,,,,,"FRACCIONAMIENTO","RIO DE TIJUANA",,,,,"02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","3836","006","6631226148","CONTABILIDAD@HOSPITALMIDOCTOR.COM","WWW.HOSPITALMIDOCTOR.COM","Fijo","32.53414244","-117.02282196","2014-12"
"144461","02004622112000227000000000U0","HOSPITAL REGIONAL NUMERO 1","HOSPITAL REGIONAL NUMERO 1 ","622112","Public","251 y más personas","CALLE","PASEO DEL RIO","CALLE","CANADA","BOULEVARD","PASEO DEL RIO","AVENIDA","CAMPOS","16801",,,,"0",,"COLONIA","22226",,,,"22225","02","BAJA CALIFORNIA","004","Tijuana","0001","Tijuana","1064","063","6646270973","JAIME.OTANEZ@IMSS.GOB.MX","WWW.IMSS.GOB.MX","Fijo","32.47647947","-116.92629412","2010-07"
